5,25,13.6,2017-02-18 19:45:00,2017-02-18 19:45:00
5,26,7.8,2017-02-18 19:45:00,2017-02-18 19:45:00
6,1,9.7,2017-02-18 19:45:00,2017-02-18 19:45:00
6,2,9.7,2017-02-18 19:45:00,2017-02-18 19:45:00
6,3,10.1,2017-02-18 19:45:00,2017-02-18 19:45:00
6,4,11.6,2017-02-18 19:45:00,2017-02-18 19:45:00
6,5,13.2,2017-02-18 19:45:00,2017-02-18 19:45:00
6,6,0,2017-02-18 19:45:00,2017-02-18 19:45:00
6,7,11,2017-02-18 19:45:00,2017-02-18 19:45:00
6,8,6.5,2017-02-18 19:45:00,2017-02-18 19:45:00
6,9,9.3,2017-02-18 19:45:00,2017-02-18 19:45:00
6,10,11.2,2017-02-18 19:45:00,2017-02-18 19:45:00
6,11,8.5,2017-02-18 19:45:00,2017-02-18 19:45:00
6,12,32.1,2017-02-18 19:45:00,2017-02-18 19:45:00
6,13,114,2017-02-18 19:45:00,2017-02-18 19:45:00
6,14,5.5,2017-02-18 19:45:00,2017-02-18 19:45:00
6,15,10.7,2017-02-18 19:45:00,2017-02-18 19:45:00
6,16,34.6,2017-02-18 19:45:00,2017-02-18 19:45:00
6,17,9.5,2017-02-18 19:45:00,2017-02-18 19:45:00
6,18,15.8,2017-02-18 19:45:00,2017-02-18 19:45:00
6,19,20.6,2017-02-18 19:45:00,2017-02-18 19:45:00
6,20,11,2017-02-18 19:45:00,2017-02-18 19:45:00
6,21,5.1,2017-02-18 19:45:00,2017-02-18 19:45:00
6,22,9.8,2017-02-18 19:45:00,2017-02-18 19:45:00
6,23,17.5,2017-02-18 19:45:00,2017-02-18 19:45:00
6,24,15.2,2017-02-18 19:45:00,2017-02-18 19:45:00
6,25,18.1,2017-02-18 19:45:00,2017-02-18 19:45:00
6,26,8.4,2017-02-18 19:45:00,2017-02-18 19:45:00
7,1,2.9,2017-02-18 19:45:00,2017-02-18 19:45:00
7,2,2.3,2017-02-18 19:45:00,2017-02-18 19:45:00
7,3,3.3,2017-02-18 19:45:00,2017-02-18 19:45:00
7,4,2.5,2017-02-18 19:45:00,2017-02-18 19:45:00
7,5,6.5,2017-02-18 19:45:00,2017-02-18 19:45:00
7,6,11,2017-02-18 19:45:00,2017-02-18 19:45:00
7,7,0,2017-02-18 19:45:00,2017-02-18 19:45:00
7,8,6,2017-02-18 19:45:00,2017-02-18 19:45:00
7,9,6.4,2017-02-18 19:45:00,2017-02-18 19:45:00
7,10,9.3,2017-02-18 19:45:00,2017-02-18 19:45:00
7,11,6.1,2017-02-18 19:45:00,2017-02-18 19:45:00
7,12,34.5,2017-02-18 19:45:00,2017-02-18 19:45:00
7,13,116,2017-02-18 19:45:00,2017-02-18 19:45:00
7,14,5.3,2017-02-18 19:45:00,2017-02-18 19:45:00
7,15,6.3,2017-02-18 19:45:00,2017-02-18 19:45:00
7,16,37,2017-02-18 19:45:00,2017-02-18 19:45:00
7,17,11.1,2017-02-18 19:45:00,2017-02-18 19:45:00
7,18,8.4,2017-02-18 19:45:00,2017-02-18 19:45:00
7,19,11.6,2017-02-18 19:45:00,2017-02-18 19:45:00
7,20,3.6,2017-02-18 19:45:00,2017-02-18 19:45:00
7,21,8.7,2017-02-18 19:45:00,2017-02-18 19:45:00
7,22,11.4,2017-02-18 19:45:00,2017-02-18 19:45:00
7,23,8.4,2017-02-18 19:45:00,2017-02-18 19:45:00
7,24,6.1,2017-02-18 19:45:00,2017-02-18 19:45:00
7,25,9.3,2017-02-18 19:45:00,2017-02-18 19:45:00
7,26,6,2017-02-18 19:45:00,2017-02-18 19:45:00
8,1,4.2,2017-02-18 19:45:00,2017-02-18 19:45:00
8,2,4.9,2017-02-18 19:45:00,2017-02-18 19:45:00
8,3,5.3,2017-02-18 19:45:00,2017-02-18 19:45:00
8,4,6.8,2017-02-18 19:45:00,2017-02-18 19:45:00
8,5,8.1,2017-02-18 19:45:00,2017-02-18 19:45:00
8,6,7,2017-02-18 19:45:00,2017-02-18 19:45:00
8,7,6.8,2017-02-18 19:45:00,2017-02-18 19:45:00
8,8,0,2017-02-18 19:45:00,2017-02-18 19:45:00
8,9,4.5,2017-02-18 19:45:00,2017-02-18 19:45:00
8,10,7.4,2017-02-18 19:45:00,2017-02-18 19:45:00
8,11,3.2,2017-02-18 19:45:00,2017-02-18 19:45:00
8,12,32.3,2017-02-18 19:45:00,2017-02-18 19:45:00
8,13,114,2017-02-18 19:45:00,2017-02-18 19:45:00
8,14,1,2017-02-18 19:45:00,2017-02-18 19:45:00
8,15,8.4,2017-02-18 19:45:00,2017-02-18 19:45:00
8,16,34.8,2017-02-18 19:45:00,2017-02-18 19:45:00
8,17,9.3,2017-02-18 19:45:00,2017-02-18 19:45:00
8,18,11,2017-02-18 19:45:00,2017-02-18 19:45:00
8,19,15.8,2017-02-18 19:45:00,2017-02-18 19:45:00
8,20,6.3,2017-02-18 19:45:00,2017-02-18 19:45:00
8,21,4.8,2017-02-18 19:45:00,2017-02-18 19:45:00
8,22,9.6,2017-02-18 19:45:00,2017-02-18 19:45:00
8,23,12.8,2017-02-18 19:45:00,2017-02-18 19:45:00
8,24,10.7,2017-02-18 19:45:00,2017-02-18 19:45:00
8,25,13.2,2017-02-18 19:45:00,2017-02-18 19:45:00
8,26,3.1,2017-02-18 19:45:00,2017-02-18 19:45:00
9,1,4.9,2017-02-18 19:45:00,2017-02-18 19:45:00
9,2,5.6,2017-02-18 19:45:00,2017-02-18 19:45:00
9,3,3.7,2017-02-18 19:45:00,2017-02-18 19:45:00
9,4,7.1,2017-02-18 19:45:00,2017-02-18 19:45:00
9,5,4.3,2017-02-18 19:45:00,2017-02-18 19:45:00
9,6,9.1,2017-02-18 19:45:00,2017-02-18 19:45:00
9,7,6.9,2017-02-18 19:45:00,2017-02-18 19:45:00
9,8,3.7,2017-02-18 19:45:00,2017-02-18 19:45:00
9,9,0,2017-02-18 19:45:00,2017-02-18 19:45:00
9,10,4.6,2017-02-18 19:45:00,2017-02-18 19:45:00
9,11,2.3,2017-02-18 19:45:00,2017-02-18 19:45:00
9,12,36,2017-02-18 19:45:00,2017-02-18 19:45:00
9,13,117,2017-02-18 19:45:00,2017-02-18 19:45:00
9,14,4.7,2017-02-18 19:45:00,2017-02-18 19:45:00
9,15,11.9,2017-02-18 19:45:00,2017-02-18 19:45:00
9,16,38.5,2017-02-18 19:45:00,2017-02-18 19:45:00
9,17,6.5,2017-02-18 19:45:00,2017-02-18 19:45:00
9,18,8.7,2017-02-18 19:45:00,2017-02-18 19:45:00
9,19,15.5,2017-02-18 19:45:00,2017-02-18 19:45:00
9,20,5,2017-02-18 19:45:00,2017-02-18 19:45:00
